Activity Type,Location,Distance,Calories,Time,Avg HR,Max HR,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Cadence,Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,Poughkeepsie Running,3.68,333,27:03:00,147,158,170,192,7:21,5:51,129,120,1.29,,,,,
indoor_cycling,Indoor Cycling,8.4,392,29:56:00,149,159,,,16.8,,,,0,88,148,,,
lap_swimming,Lap Swimming,,93,32:15:00,,,,,4:18,1:18,,,0,,,423,82,16
running,Poughkeepsie Running,2.26,251,16:26,,,171,229,7:17,4:21,36,36,1.29,,,,,
running,Poughkeepsie Running,6.24,526,44:21:00,149,175,170,194,7:06,5:57,501,489,1.34,,,,,
running,Poughkeepsie Running,8.05,717,52:59:00,159,178,170,182,6:35,4:26,120,127,1.44,,,,,
running,East Buffalo Running,1.59,168,14:24,,,168,229,9:04,7:41,62,59,1.05,,,,,
running,East Buffalo Running,1.63,181,12:25,,,170,186,7:37,6:23,41,38,1.24,,,,,
track_running,800 meter ,0.5,16,1:55,,,,,3:50,,,,0,,,,,
running,East Buffalo Running,2.6,224,20:58,139,155,163,241,8:03,5:19,37,36,1.22,,,,,
running,Poughkeepsie Running,1.05,103,08:31.9,137,149,168,180,8:10,7:35,,,1.17,,,,,
running,Poughkeepsie Running,0.2,8,00:47.8,147,167,130,248,3:55,3:43,,,3.16,,,,,
running,Poughkeepsie Running,1.02,90,06:16.0,163,177,172,190,6:07,4:38,,3,1.53,,,,,
running,Poughkeepsie Running,1.73,174,12:29,160,182,173,190,7:13,6:51,16,19,1.29,,,,,
indoor_cycling,Indoor Cycling,9.87,367,36:49:00,145,163,,,16.1,,,,0,90,149,,,
lap_swimming,Lap Swimming,,110,29:04:00,,,,,3:54,1:04,,,0,,,435,75,17
running,Poughkeepsie Running,1.63,165,11:58,152,163,172,190,7:21,6:28,21,24,1.27,,,,,
running,Poughkeepsie Running,7.59,735,52:38:00,157,171,169,212,6:56,6:16,245,250,1.37,,,,,
running,Poughkeepsie Running,4.04,381,27:00:00,156,176,170,198,6:41,5:30,87,100,0,,,,,
running,Poughkeepsie Running,10.19,877,1:17:46,150,172,158,212,7:38,5:24,727,716,0,,,,,
running,Williamsburg Running,1.49,165,12:33,,,165,194,8:24,7:23,,,0,,,,,
running,Williamsburg Running,1.94,215,14:18,,,167,180,7:21,6:39,15,13,0,,,,,
running,Williamsburg Running,2.76,277,20:20,155,176,168,198,7:22,5:50,16,18,0,,,,,
running,Williamsburg Running,4.47,418,34:20:00,148,159,164,184,7:41,5:59,55,58,0,,,,,
running,Poughkeepsie Running,7.11,663,48:33:00,155,170,166,186,6:49,5:10,551,554,1.42,,,,,
running,Poughkeepsie Running,10.03,901,1:07:42,156,174,169,194,6:45,5:07,703,699,1.41,,,,,
running,Raleigh Running,1.03,109,9:09,,,164,198,8:51,5:09,,,0,,,,,
running,Raleigh Running,1.47,162,10:33,,,167,182,7:09,5:56,18,15,0,,,,,
running,Raleigh Running,2.41,243,18:00,152,168,169,188,7:28,6:21,98,88,1.28,,,,,
